Path	Frame	Seconds	Speed	Linear Acceleration	Net-to-Gross Displacement Ratio	Rate of Change of Direction	Angular Velocity	Direction of Travel	Orientaiton	Rate of Change of Orientation
			(micrometers/second)	(micrometers/(second*second))		(degrees/second)	(degrees/second)	(degrees)	(degrees)	(degrees/second)
1	4	0.1	8.35386	-117.00897	1	-160.17943	247.68552	247.68539	-126.09766	-39.82452
1	5	0.13333	4.45356	-115.11075	0.99999	-151.92325	1052.69153	1052.69141	-127.42515	59.57588
1	6	0.16667	0.67981	21.50529	0.91699	-90	855.89343	855.89343	-122.12594	79.48814
1	7	0.2	5.88724	185.60158	0.91698	-94.86369	124.9225	124.92245	-122.12594	481.88907
1	8	0.23333	13.05324	23.34584	0.848	-81.67184	353.85742	353.85739	-90	143.53329
1	9	0.26667	7.44363	-83.94343	0.83296	-71.27319	2242.52124	2242.52124	-112.55705	-338.35577
1	10	0.3	7.45702	215.91943	0.83296	67.82958	1958.3595	1958.3595	-112.55705	-44.04179
1	11	0.33333	21.83826	105.74096	0.31753	59.2841	-193.89417	193.89417	-115.49317	-51.43719
1	12	0.36667	14.50641	-259.59683	0.24562	54.90331	460.73846	460.73846	-115.9862	-7.3954
1	13	0.4	4.53181	-148.40898	0.24562	90	-493.8511	493.85114	-115.9862	-0.00172
1	14	0.43333	4.61248	8.75089	0.27583	21.9799	-1848.91858	1848.91858	-115.98631	7.3613
1	15	0.46667	5.1152	108.81567	0.29066	-33.26124	-2195.95728	2195.95728	-115.49545	7.36301
1	16	0.5	11.86686	273.4017	0.29066	-124.41725	-1341.90991	1341.90991	-115.49545	-173.09039
1	17	0.53333	23.34198	-17.63371	0.12891	-122.7219	72.14832	72.14836	-127.03481	-46.55022
1	18	0.56667	10.69128	-204.58386	0.1937	-119.60736	511.67398	511.67392	-118.59879	242.99904
1	19	0.6	9.70305	82.43348	0.18473	-88.61031	287.25394	287.25391	-110.83487	8.28655
1	20	0.63333	16.18684	-52.39193	0.28333	-100.4571	-383.70868	383.70862	-118.04636	-142.62943
1	21	0.66667	6.21026	-26.72165	0.32671	-114.19088	-142.78853	142.78851	-120.3435	-34.45713
1	22	0.7	14.4054	234.10857	0.32671	-109.97633	105.45837	105.45834	-120.3435	153.23616
1	23	0.73333	21.8175	-48.13753	0.41514	-107.16032	112.88123	112.8812	-110.12775	259.87585
